logged_at	validation_timestamp	model_name	feature_set_name	feature_engineering_summary	engineered_features_json	model_variant_name	model_summary	estimator_family	estimator_params_json	preprocessor_spec_json	blend_spec_json	hypothesis	changed_components	why_this_should_help	decision	decision_reason	validation_rmse	validation_mae	validation_mape	validation_spearman	test_rmse	test_mae	test_mape	test_spearman	notes
2026-05-05T21:22:25	2026-05-05T16:21:55	search_week4_release_plus_regime_combo_huber_eps_1_30_v1	release_plus_regime_combo	Week 3 control plus release-window flags and negative/flat regime indicators.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_eps_1_30	HuberRegressor with epsilon=1.30 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.3,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	A moderate epsilon reduction may improve RMSE while staying stable.	model	A moderate epsilon reduction may improve RMSE while staying stable.	Discard	Strong improvement, but worse RMSE than Run 10.	1327241.563078	870520.841660	5.776354	0.456515					Formal Week 4 run. Variable changed: Tightened Huber loss to `epsilon=1.30`
2026-05-05T21:22:25	2026-05-05T16:22:15	search_week4_release_plus_regime_combo_huber_eps_1_35_v1	release_plus_regime_combo	Week 3 control plus release-window flags and negative/flat regime indicators.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_eps_1_35	HuberRegressor with epsilon=1.35 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Acts as the tuned-model reference against the newer epsilon runs.	model	Acts as the tuned-model reference against the newer epsilon runs.	Discard	Equal to the prior retained feature-only winner.	1328169.539574	875849.135285	6.016124	0.455865					Formal Week 4 run. Variable changed: Kept the earlier wider Huber setting
2026-05-05T21:22:25	2026-05-05T16:22:32	search_week4_release_plus_momentum_family_huber_eps_1_30_v1	release_plus_momentum_family	Week 3 control plus release-window flags and momentum-gap features.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d""]"	huber_eps_1_30	HuberRegressor with epsilon=1.30 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.3,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Momentum plus tighter robustness might overtake the regime-based winner.	model,features	Momentum plus tighter robustness might overtake the regime-based winner.	Discard	Better than Run 8, still behind Run 10.	1330932.242603	869813.357611	6.584130	0.464469					Formal Week 4 run. Variable changed: Combined the best momentum challenger with the tuned Huber loss
2026-05-05T21:22:25	2026-05-05T16:23:02	search_week4_release_plus_regime_combo_huber_eps_1_15_v1	release_plus_regime_combo	Week 3 control plus release-window flags and negative/flat regime indicators.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_eps_1_15	HuberRegressor with epsilon=1.15 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.15,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Stronger robustness might cut MAE/MAPE further while preserving RMSE.	model	Stronger robustness might cut MAE/MAPE further while preserving RMSE.	Discard	Excellent MAE/MAPE, but slightly worse RMSE than Run 10.	1327621.268709	859850.857181	5.241067	0.455821					Formal Week 4 run. Variable changed: Tightened Huber loss further to `epsilon=1.15`
2026-05-05T21:22:25	2026-05-05T16:23:19	search_week4_release_plus_regime_combo_huber_eps_1_20_v1	release_plus_regime_combo	Week 3 control plus release-window flags and negative/flat regime indicators.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_eps_1_20	HuberRegressor with epsilon=1.20 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.2,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	A midpoint between `1.15` and `1.25` may balance RMSE and ratio error.	model	A midpoint between `1.15` and `1.25` may balance RMSE and ratio error.	Discard	Near-tie on RMSE and better MAE/MAPE than Run 10, but the search remained RMSE-first.	1326674.468138	862524.011240	5.391776	0.456357					Formal Week 4 run. Variable changed: Tuned Huber loss to `epsilon=1.20`
2026-05-05T21:22:25	2026-05-05T16:36:25	search_week4_ratio_family_huber_eps_1_25_v1	ratio_family	Release/regime feature family plus audience-scaled recent-change ratio features.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""]"	huber_eps_1_25	HuberRegressor with epsilon=1.25 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.25,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Scaling recent change by current audience size should help the model size breakouts more accurately.	features	Scaling recent change by current audience size should help the model size breakouts more accurately.	Keep	New best overall run and best RMSE seen so far.	1324378.936954	859645.954043	5.184773	0.457998	2003204.158699	1031678.962416	3.550610	0.373985	Formal Week 4 run. Variable changed: Added audience-scaled recent-change ratio features
2026-05-05T21:22:25	2026-05-05T16:36:39	search_week4_release_plus_regime_combo_huber_eps_1_22_v1	release_plus_regime_combo	Week 3 control plus release-window flags and negative/flat regime indicators.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_eps_1_22	HuberRegressor with epsilon=1.22 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.22,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	A narrow shift from the current winner might improve RMSE without changing the feature surface.	model	A narrow shift from the current winner might improve RMSE without changing the feature surface.	Discard	Better than Runs 14 and 15 on RMSE, but still well behind Run 16.	1326532.826405	863761.595762	5.456215	0.456418					Formal Week 4 run. Variable changed: Slightly tightened Huber loss to `epsilon=1.22`
2026-05-05T21:22:25	2026-05-05T16:36:56	search_week4_ratio_family_huber_eps_1_22_v1	ratio_family	Release/regime feature family plus audience-scaled recent-change ratio features.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""]"	huber_eps_1_22	HuberRegressor with epsilon=1.22 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.22,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	A lower epsilon on the new ratio family might preserve RMSE while improving MAE/MAPE.	model	A lower epsilon on the new ratio family might preserve RMSE while improving MAE/MAPE.	Discard	Very close RMSE and better MAE/MAPE than Run 16, but the search remained RMSE-first.	1324395.074947	858196.456016	5.097890	0.457586					Formal Week 4 run. Variable changed: Slightly tightened Huber loss to `epsilon=1.22`
2026-05-05T21:22:25	2026-05-05T16:37:10	search_week4_ratio_family_huber_eps_1_20_v1	ratio_family	Release/regime feature family plus audience-scaled recent-change ratio features.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""]"	huber_eps_1_20	HuberRegressor with epsilon=1.20 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.2,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Stronger robustness on the ratio family may improve ratio error without sacrificing much RMSE.	model	Stronger robustness on the ratio family may improve ratio error without sacrificing much RMSE.	Discard	Strong MAE/MAPE result, but enough RMSE regression to miss the top slot.	1324568.819282	857346.838568	5.043560	0.457436					Formal Week 4 run. Variable changed: Tightened Huber loss further to `epsilon=1.20`
2026-05-05T21:22:25	2026-05-05T16:37:26	search_week4_ratio_family_huber_eps_1_18_v1	ratio_family	Release/regime feature family plus audience-scaled recent-change ratio features.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""]"	huber_eps_1_18	HuberRegressor with epsilon=1.18 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.18,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	A more aggressive robust loss may help the broad negative-regime errors even more.	model	A more aggressive robust loss may help the broad negative-regime errors even more.	Discard	Best MAE/MAPE of the batch, but not the best RMSE.	1324857.527470	856572.819382	4.992846	0.457154					Formal Week 4 run. Variable changed: Tightened Huber loss further to `epsilon=1.18`
2026-05-05T21:22:25	2026-05-05T16:48:36	search_week4_ratio_family_blend_huber125_extra400l4_w62_v1	ratio_family	Release/regime feature family plus audience-scaled recent-change ratio features.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""]"	blend_huber125_extra400l4_w62	Weighted blend of Huber(epsilon=1.25) and shallow ExtraTrees with 62/38 ensemble weights.	VotingRegressor	"{""weights"":[0.62,0.38]}"	"{""extra"":{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""tree_log_impute"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative""],""other"":[""median_imputer""]},""type"":""ColumnTransformer""},""huber"":{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""listener_change_prev_7d_ratio"",""listener_change_prev_30d_ratio""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}}"	"{""estimators"":[{""family"":""HuberRegressor"",""name"":""huber"",""params"":{""epsilon"":1.25,""max_iter"":500}},{""family"":""ExtraTreesRegressor"",""name"":""extra"",""params"":{""max_depth"":18,""min_samples_leaf"":4,""n_estimators"":400,""random_state"":42}}],""weights"":[0.62,0.38]}"	A shallow nonlinear correction on top of the robust linear baseline should better size difficult breakouts.	model,preprocessing,ensemble_weight	A shallow nonlinear correction on top of the robust linear baseline should better size difficult breakouts.	Keep as challenger	First ensemble run and immediate major RMSE gain.	1249437.991995	835425.736741	4.994817	0.500372					Formal Week 4 run. Variable changed: Replaced the single linear regressor with a weighted Huber-plus-ExtraTrees ensemble
